-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.200
-183.800, 80.200, -0.013,  0.400
-183.800, 80.197, 0.025,  0.600
-183.800, 80.194, 0.031,  0.800
-183.799, 80.186, 0.152,  1.000
-183.797, 80.159, 0.291,  1.200
-183.794, 80.120, 0.455,  1.400
-183.790, 80.065, 0.616,  1.600
-183.785, 80.000, 0.706,  1.800
-183.779, 79.931, 0.695,  2.000
-183.773, 79.857, 0.749,  2.200
-183.767, 79.782, 0.759,  2.400
-183.761, 79.705, 0.772,  2.600
-183.754, 79.627, 0.809,  2.800
-183.746, 79.541, 0.903,  3.000
-183.737, 79.438, 1.137,  3.200
-183.725, 79.304, 1.449,  3.400
-183.710, 79.142, 1.720,  3.600
-183.693, 78.956, 1.951,  3.800
-183.675, 78.752, 2.109,  4.000
-183.654, 78.538, 2.195,  4.200
-183.634, 78.317, 2.238,  4.400
-183.612, 78.094, 2.257,  4.600
-183.590, 77.870, 2.265,  4.800
-183.568, 77.645, 2.270,  5.000
-183.546, 77.419, 2.276,  5.200
-183.524, 77.192, 2.284,  5.400
-183.501, 76.964, 2.296,  5.600
-183.478, 76.735, 2.310,  5.800
-183.456, 76.504, 2.326,  6.000
-183.433, 76.272, 2.344,  6.200
-183.410, 76.037, 2.362,  6.400
-183.387, 75.801, 2.381,  6.600
-183.364, 75.563, 2.400,  6.800
-183.341, 75.323, 2.418,  7.000
-183.318, 75.081, 2.437,  7.200
-183.296, 74.837, 2.456,  7.400
-183.273, 74.592, 2.475,  7.600
-183.251, 74.344, 2.494,  7.800
-183.228, 74.094, 2.514,  8.000
-183.206, 73.843, 2.533,  8.200
-183.184, 73.589, 2.552,  8.400
-183.163, 73.334, 2.572,  8.600
-183.141, 73.076, 2.592,  8.800
-183.120, 72.817, 2.612,  9.000
-183.099, 72.555, 2.632,  9.200
-183.078, 72.292, 2.652,  9.400
-183.058, 72.026, 2.672,  9.600
-183.038, 71.759, 2.693,  9.800
-183.018, 71.489, 2.714, 10.000
-182.998, 71.217, 2.735, 10.200
-182.979, 70.943, 2.756, 10.400
-182.959, 70.666, 2.778, 10.600
-182.941, 70.388, 2.799, 10.800
-182.922, 70.107, 2.821, 11.000
-182.904, 69.825, 2.844, 11.200
-182.886, 69.539, 2.866, 11.400
-182.868, 69.252, 2.888, 11.600
-182.851, 68.962, 2.911, 11.800
-182.834, 68.670, 2.934, 12.000
-182.817, 68.376, 2.958, 12.200
-182.800, 68.079, 2.981, 12.400
-182.784, 67.780, 3.005, 12.600
-182.768, 67.479, 3.029, 12.800
-182.753, 67.175, 3.053, 13.000
-182.737, 66.869, 3.077, 13.200
-182.722, 66.560, 3.102, 13.400
-182.707, 66.248, 3.127, 13.600
-182.692, 65.935, 3.152, 13.800
-182.678, 65.618, 3.177, 14.000
-182.664, 65.299, 3.203, 14.200
-182.650, 64.978, 3.229, 14.400
-182.636, 64.654, 3.255, 14.600
-182.623, 64.327, 3.281, 14.800
-182.610, 63.998, 3.307, 15.000
-182.597, 63.666, 3.334, 15.200
-182.584, 63.331, 3.362, 15.400
-182.572, 62.993, 3.389, 15.600
-182.559, 62.653, 3.417, 15.800
-182.547, 62.310, 3.444, 16.000
-182.535, 61.964, 3.473, 16.200
-182.524, 61.615, 3.501, 16.400
-182.512, 61.264, 3.530, 16.600
-182.501, 60.909, 3.559, 16.800
-182.490, 60.552, 3.588, 17.000
-182.479, 60.191, 3.618, 17.200
-182.468, 59.828, 3.647, 17.400
